iter	Passed	Remaining
0	1	1168
1	19	9906
2	21	7300
3	23	5881
4	63	12562
5	70	11705
6	72	10227
7	102	12769
8	111	12290
9	174	17236
10	175	15777
11	176	14556
12	177	13503
13	289	20359
14	290	19096
15	297	18279
16	311	18028
17	313	17123
18	314	16256
19	315	15472
20	316	14766
21	317	14105
22	318	13516
23	319	12980
24	320	12483
25	320	12025
26	321	11601
27	322	11209
28	323	10835
29	324	10493
30	325	10180
31	326	9886
32	327	9611
33	329	9367
34	330	9117
35	331	8880
36	332	8657
37	333	8444
38	334	8241
39	335	8048
40	336	7863
41	337	7699
42	338	7534
43	339	7377
44	340	7227
45	341	7084
46	342	6947
47	343	6815
48	344	6689
49	345	6566
50	346	6449
51	347	6338
52	348	6230
53	349	652	854	350	6053	872	15282
54	887	15241
55	890	15011
56	920	15222
57	948	15397
58	949	15144
59	950	14893
60	997	15347
61	998	15099
62	999	14861
63	1000	14631
64	1067	15362
65	1069	15137
66	1071	14918
67	1072	14703
68	1110	14986
69	1112	14779
70	1116	14604
71	1116	14392
72	1148	14579
73	1149	14385
74	1198	14783
75	1199	14588
76	1201	14396
77	1202	14208
78	1203	14036
79	1207	13881
80	1208	13708
81	1212	13579
82	1214	13415
83	1218	13290
84	1222	13157
85	1223	13001
86	1244	13064
87	1246	12919
88	1267	12974
89	1268	12828
90	1269	12685
91	1271	12552
92	1274	12426
93	1296	12497
94	1298	12365
95	1299	12239
96	1301	12113
97	1326	12208
98	1328	12089
99	1333	11998
100	1334	11881
101	1338	11780
102	1350	11759
103	1385	11939
104	1389	11847
105	1395	11769
106	1407	11742
107	1408	11633
108	1410	11533
109	1411	11420
110	1439	11530
111	1459	11575
112	1461	11472
113	1462	11369
114	1473	11339
115	1477	11256
116	1493	11274
117	1495	11174
118	1515	11219
119	1517	11125
120	1518	11031
121	1522	10956
122	1539	10979
123	1550	10954
124	1552	10867
125	1555	10789
126	1567	10777
127	1570	10700
128	1572	10620
129	1575	10540
130	1576	10456
131	1577	10372
132	1582	10316
133	1584	10237
134	1585	10157
135	1586	10078
136	1599	10076
137	1601	10002
138	1602	9928
139	1604	9853
140	1605	9781
141	1631	9859
142	1633	9787
143	1634	9715
144	1635	9644
145	1644	9616
146	1646	9556
147	1656	9537
148	1658	9471
149	1659	9403
150	1660	9335
151	1660	9265
152	1667	9231
153	1670	9175
154	1670	9109
155	1672	9050
156	1675	8995
157	1689	9001
158	1691	8948
159	1692	8885
160	1693	8826
161	1696	8778
162	1711	8786
163	1713	8734
164	1719	8701
165	1721	8646
166	1722	8590
167	1726	8548
168	1742	8567
169	1743	8512
170	1744	8457
171	1745	8403
172	1746	8351
173	1747	8297
174	1748	8245
175	1752	8202
176	1753	8152
177	1754	8102
178	1755	8051
179	1756	8001
180	1757	7950
181	1758	7904
182	1760	7859
183	1762	7814
184	1763	7767
185	1764	7721
186	1765	7675
187	1767	7632
188	1769	7591
189	1773	7561
190	1776	7526
191	1781	7495
192	1782	7453
193	1787	7424
194	1790	7393
195	1792	7353
196	1793	7312
197	1796	7275
198	1797	7233
199	1798	7192
200	1799	7152
201	1801	7116
202	1802	7078
203	1804	7039
204	1805	7000
205	1805	6960
206	1807	6923
207	1807	6883
208	1810	6851
209	1812	6818
210	1814	6786
211	1817	6754
212	1821	6728
213	1823	6697
214	1824	6662
215	1825	6627
216	1827	6592
217	1828	6560
218	1831	6530
219	1832	6498
220	1839	6484
221	1841	6453
222	1844	6425
223	1846	6397
224	1852	6379
225	1855	6355
226	1856	6322
227	1857	6290
228	1860	6262
229	1861	6232
230	1862	6200
231	1864	6173
232	1867	6149
233	1869	6120
234	1871	6092
235	1873	6065
236	1874	6035
237	1876	6006
238	1877	5977
239	1878	5948
240	1879	5919
241	1880	5889
242	1881	5862
243	1882	5833
244	1883	5804
245	1884	5776
246	1885	5748
247	1886	5720
248	1887	5692
249	1888	5665
250	1889	5638
251	1890	5611
252	1891	5584
253	1892	5557
254	1893	5531
255	1894	5504
256	1895	5478
257	1896	5455
258	1898	5430
259	1899	5405
260	1900	5380
261	1911	5383
262	1912	5359
263	1913	5334
264	1914	5310
265	1915	5286
266	1918	5266
267	1920	5246
268	1921	5222
269	1923	5199
270	1924	5176
271	1925	5153
272	1927	5131
273	1929	5113
274	1931	5091
275	1932	5068
276	1933	5045
277	1934	5023
278	1935	5001
279	1936	4980
280	1937	4958
281	1939	4937
282	1941	4918
283	1944	4901
284	1945	4880
285	1948	4864
286	1950	4845
287	1952	4828
288	1954	4807
289	1955	4786
290	1959	4774
291	1961	4755
292	1962	4735
293	1963	4715
294	1964	4695
295	1965	4675
296	1966	4655
297	1967	4635
298	1968	4615
299	1969	4595
300	1970	4576
301	1971	4556
302	1972	4537
303	1973	4519
304	1980	4513
305	1981	4493
306	1985	4481
307	1989	4469
308	1990	4451
309	1994	4438
310	1995	4420
311	1996	4402
312	1997	4384
313	1999	4368
314	2000	4350
315	2001	4332
316	2002	4314
317	2005	4301
318	2008	4288
319	2012	4276
320	2016	4264
321	2018	4250
322	2020	4234
